"dataset","arm","model","wi","requested","dropped","dropped_rhat"
"r_salina2","C","ecxwb1",0.00115407484084487,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
"r_salina2","C","ecxwb2",0.00125602168943614,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
"r_salina2","C","ecxll4",0.00135434857215382,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
"r_salina2","C2","nec4param",0.98915510076168,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
"r_salina2","C2","neclin",1.65584300800102e-09,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
"r_salina2","C2","ecxlin",1.06298926722707e-07,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
"r_salina2","C2","ecx4param",0.00308503017081824,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
"r_salina2","C2","ecxwb1",0.00275991121546323,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
"r_salina2","C2","ecxwb2",0.0019963396425285,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
"r_salina2","C2","ecxll4",0.00300351025474036,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
"r_salina2","D","nec4param",0.160373398670259,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll3",""
"r_salina2","D","neclin",0.0208614962218765,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll3",""
"r_salina2","D","ecxlin",0.00522775650304167,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll3",""
"r_salina2","D","ecx4param",0.158050523412057,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll3",""
"r_salina2","D","ecxwb1",0.0640328365476699,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll3",""
"r_salina2","D","ecxwb2",0.357720297313906,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll3",""
"r_salina2","D","ecxll5",0.0721532711616217,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll3",""
"r_salina2","D","ecxll4",0.161580420169569,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll3",""
