"cell","arm","endpoint","n","bias","bias_mcse","rmse","rmse_mcse","coverage","coverage_mcse"
"d2.0_t0.8_R2.3_s8.1","B3","ErC50",494,-0.227383219764195,0.0399958801603507,0.916700960249464,0.0312275483116902,0.777327935222672,0.0187185210163283
"d2.0_t1.0_R2.3_s8.1","B3","ErC50",490,-0.362247031330667,0.0343863236798259,0.84227425936948,0.0236347587557354,0.76734693877551,0.0190876396765863
"d2.0_t2.0_R2.3_s8.1","B3","ErC50",475,-0.335584700288932,0.0327964549077249,0.788958189328087,0.0221564584171171,0.755789473684211,0.019712232117586
"d4.0_t0.8_R2.3_s8.1","B3","ErC50",493,-0.230094281669254,0.0191408326729311,0.482905937383419,0.0136320206944402,0.740365111561866,0.0197460866353681
"d4.0_t1.0_R2.3_s8.1","B3","ErC50",482,-0.383409925173897,0.0147785436351792,0.50205193458719,0.011971080102971,0.663900414937759,0.0215160199885523
"d4.0_t2.0_R17.0_s8.1","B3","ErC50",427,-0.514424053286879,0.00443601624725591,0.522508408451255,0.00438486712885696,0.00234192037470726,0.00233917647174428
"d4.0_t2.0_R2.3_s8.1","B3","ErC50",451,-0.390774086026948,0.0143496209211892,0.495342927245379,0.0119684612307691,0.594235033259424,0.023122145464454
"d4.0_t2.0_R3.3_s8.1","B3","ErC50",403,-0.448380156499883,0.0110861069769807,0.500451071974767,0.00994633150051684,0.325062034739454,0.0233325674859222
"d4.0_t2.0_R73.0_s8.1","B3","ErC50",483,-0.516150943144747,0.00270357116753293,0.519552574135792,0.00269488407430034,0,0
"d8.0_t0.8_R2.3_s8.1","B3","ErC50",488,-0.150478445366114,0.0096739476493896,0.261189176002313,0.00702782818619391,0.766393442622951,0.0191539563673814
"d8.0_t1.0_R2.3_s8.1","B3","ErC50",479,-0.263732322234505,0.00671335865986052,0.301824134191182,0.00614378071629496,0.507306889352818,0.0228431435087454
"d8.0_t2.0_R2.3_s8.1","B3","ErC50",409,-0.272123764546768,0.00778506251210686,0.314291393685237,0.00663140401126739,0.440097799511002,0.0245453388369856
"d2.0_t0.8_R2.3_s8.1","B1","ErC50",467,-0.154137590867203,0.0401619848794131,0.880573347679798,0.0359455490045939,0.805139186295503,0.0183290222228712
"d2.0_t1.0_R2.3_s8.1","B1","ErC50",480,-0.130926945933296,0.0365213196459307,0.809960071206758,0.0248219801451022,0.85,0.0162980060130066
"d2.0_t2.0_R2.3_s8.1","B1","ErC50",477,-0.213249306273752,0.037414642295819,0.843686235927375,0.0281741370348315,0.794549266247379,0.0184992905837764
"d4.0_t0.8_R2.3_s8.1","B1","ErC50",481,-0.158360411005171,0.0182379982426051,0.429811375052376,0.0145930156182544,0.792099792099792,0.0185031160748882
